排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
249,P3 先解决具体问题,C384-041,landiolol,Beta-1 adrenergic receptor,CYP26A1 — Cytochrome P450 26A1,TALAROZOLE,CTRL-106,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,先核药物稳定性和血红素构建；对照可靠后才追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WMDSZGFJQKSLLH-RBBKRZOGSA-N,CHEMBL5141,CHEMBL459505,SNFYYXUGUBUECJ-UHFFFAOYSA-N
250,P3 先解决具体问题,C384-104,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,YES1 — Tyrosine-protein kinase Yes,STAUROSPORINE,CTRL-036,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先查原始激酶panel的YES1列和浓度，缺失时再直接结合/酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YIBOMRUWOWDFLG-ONEGZZNKSA-N,CHEMBL2073,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
251,P3 先解决具体问题,C384-075,capmatinib,Hepatocyte growth factor receptor,EZH2 — Histone-lysine N-methyltransferase EZH2,GSK2816126,CTRL-042,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认PRC2/催化构建和甲基转移酶活性，结合阳性后区分MET间接影响。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LIOLIMKSCNQPLV-UHFFFAOYSA-N,CHEMBL2189110,CHEMBL3287735,FKSFKBQGSFSOSM-QFIPXVFZSA-N
252,P3 先解决具体问题,C384-155,bempedoic acid,ATP-citrate synthase,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN,CTRL-090,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,除非有独立HMGCR酶学/结合证据，不以降脂疗效作为SPR支持；核对物种、构建和受测形式。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HYHMLYSLQUKXKP-UHFFFAOYSA-N,CHEMBL402,CHEMBL1487,XUKUURHRXDUEBC-KAYWLYCHSA-N
253,P3 先解决具体问题,C384-224,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,确认专用底物及参考物，随后可探索母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
254,P3 先解决具体问题,C384-289,nicotine,Neuronal acetylcholine receptor; alpha4/beta2,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,只测试身份浓度明确的纯尼古丁，不把树脂制剂直接注入。,模型为NICOTINE小分子，源名称为nicotine polacrilex树脂制剂；实际待测实体未确认，仍属P3，不能因更正显示名视为问题已解除。,SNICXCGAKADSCV-JTQLQIEISA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
255,P3 先解决具体问题,C384-306,hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,成熟CTSC/CTSL并行且控制pH，确认直接作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
256,P3 先解决具体问题,C384-083,paroxetine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核论文paroxetine对应MAOB数值、物种与浓度；若弱效则后置，若可靠直接作用则作为机制确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AHOUBRCZNHFOSL-YOEHRIQHSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
257,P3 先解决具体问题,C384-107,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,研究化合物 CHEMBL235842（无通用名称）,CTRL-015,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,核近邻结构和母药酶活，避免将蛋白互作或衍生物当结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL1937,CHEMBL235842,ABZSPJVXTTUFAA-UHFFFAOYSA-N
258,P3 先解决具体问题,C384-005,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,IGF1R — Insulin-like growth factor 1 receptor,LINSITINIB,CTRL-019,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL1957,CHEMBL1091644,PKCDDUHJAFVJJB-VLZXCDOPSA-N
259,P3 先解决具体问题,C384-028,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,F7 — Coagulation factor VII,研究化合物 CHEMBL3127491（无通用名称）,CTRL-088,Ki,仅Ki记录，需先确认SPR结合适用性；须按结构落实实物,先解决具体问题,先明确F7a而非酶原体系，对照未通过不投入候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL3991,CHEMBL3127491,PDUMJXCNOKHQKH-SVXHESJVSA-N
260,P3 先解决具体问题,C384-029,articaine,Sodium channel alpha subunit,XDH — Xanthine dehydrogenase/oxidase,TOPIROXOSTAT,CTRL-012,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,补尿酸生成等不依赖ROS读出的酶活，再验证匹配人XDH/XO结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QTGIAADRBBLJGA-UHFFFAOYSA-N,CHEMBL1929,CHEMBL1078685,UBVZQGOVTLIHLH-UHFFFAOYSA-N
261,P3 先解决具体问题,C384-105,pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,CDK9 — Cyclin-dependent kinase 9,DINACICLIB,CTRL-072,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,用CDK9/cyclin匹配构建与酶活，阳性后再评病毒与宿主效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HCDMJFOHIXMBOV-UHFFFAOYSA-N,CHEMBL3116,CHEMBL2103840,PIMQWRZWLQKKBJ-SFHVURJKSA-N
262,P3 先解决具体问题,C384-106,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,FYN — Tyrosine-protein kinase Fyn,DASATINIB ANHYDROUS,CTRL-005,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先追已发现原药激酶panel，缺FYN时才配合YES1验证，避免两对都作独立强证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YIBOMRUWOWDFLG-ONEGZZNKSA-N,CHEMBL1841,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
263,P3 先解决具体问题,C384-108,teriflunomide,"Dihydroorotate dehydrogenase (quinone), mitochondrial",XDH — Xanthine dehydrogenase/oxidase,TOPIROXOSTAT,CTRL-012,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,确认模型是teriflunomide而非leflunomide，核XDH/XO状态，直接酶活后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UTNUDOFZCWSZMS-YFHOEESVSA-N,CHEMBL1929,CHEMBL1078685,UBVZQGOVTLIHLH-UHFFFAOYSA-N
264,P3 先解决具体问题,C384-165,baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,先用匹配长链去酰化读出和活性HDAC11体系检测母药，不能以普通去乙酰化阴性/阳性替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XUZMWHLSFXCVMG-UHFFFAOYSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
265,P3 先解决具体问题,C384-087,dabrafenib,Serine/threonine-protein kinase B-raf,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",WORTMANNIN,CTRL-089,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认PI3Kα构建/突变、直接酶活与结合，若仅细胞间接变化不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL4005,CHEMBL428496,QDLHCMPXEPAAMD-QAIWCSMKSA-N
266,P3 先解决具体问题,C384-109,ruxolitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,查最近邻是否新增HDAC锌结合端，纯母药酶活阳性后再投入SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
267,P3 先解决具体问题,C384-030,alvimopan,Mu-type opioid receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,只有含所需辅因子的EGLN3体系成熟时再侦察，并补羟化酶功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UPNUIXSCZBYVBB-JVFUWBCBSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
268,P3 先解决具体问题,C384-264,retapamulin,70S ribosome,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,实测可溶浓度、合格FKBP对照及非特异吸附。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,STZYTFJPGGDRJD-NHUWBDDWSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
269,P3 先解决具体问题,C384-267,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,固定母药，专用去酰化功能和对照测通后可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UVSMNLNDYGZFPF-UHFFFAOYSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
270,P3 先解决具体问题,C384-309,brivaracetam,Synaptic vesicle glycoprotein 2A,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,胆固醇转化读数和参考物测通。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MSYKRHVOOPPJKU-BDAKNGLRSA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
271,P3 先解决具体问题,C384-311,meropenem,Bacterial penicillin-binding protein,MMP7 — Matrilysin,PRINOMASTAT,CTRL-091,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,记录稳定性和成熟MMP7对照，合格可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DMJNNHOOLUXYBV-PQTSNVLCSA-N,CHEMBL4073,CHEMBL75094,YKPYIPVDTNNYCN-INIZCTEOSA-N
272,P3 先解决具体问题,C384-320,mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,PANOBINOSTAT,CTRL-078,"IC50,Ki",仅Ki记录，需先确认SPR结合适用性,先解决具体问题,专用底物及参考物合格再测母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SUDAHWBOROXANE-SECBINFHSA-N,CHEMBL3310,CHEMBL483254,FPOHNWQLNRZRFC-ZHACJKMWSA-N
273,P3 先解决具体问题,C384-123,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先确认化合物在实验缓冲液中的稳定性，用CA7酶活与阳性对照验证；初步支持后再配置浓度梯度SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AQNDDEOPVVGCPG-UHFFFAOYSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
274,P3 先解决具体问题,C384-202,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",OSILODROSTAT,CTRL-059,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,先使CYP11B2产物及参考物响应测通，再解释候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL2722,CHEMBL3099695,USUZGMWDZDXMDG-CYBMUJFWSA-N
275,P3 先解决具体问题,C384-203,epinephrine,Adrenergic receptor,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,记录样品稳定性与纯酶干扰，区分氧化产物。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UCTWMZQNUQWSLP-VIFPVBQESA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
276,P3 先解决具体问题,C384-206,eltrombopag,Thrombopoietin receptor,LCK — Tyrosine-protein kinase Lck,DASATINIB ANHYDROUS,CTRL-054,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,定义预期免疫作用方向；若仅做结合侦察，可与疾病疗效脱钩。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XDXWLKQMMKQXPV-QYQHSDTDSA-N,CHEMBL258,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
277,P3 先解决具体问题,C384-265,vorapaxar,Proteinase-activated receptor 1,DPP4 — Dipeptidyl peptidase 4,LINAGLIPTIN,CTRL-065,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认实际溶解浓度和聚集情况，再做DPP4功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZBGXUVOIWDMMJE-QHNZEKIYSA-N,CHEMBL284,CHEMBL237500,LTXREWYXXSTFRX-QGZVFWFLSA-N
278,P3 先解决具体问题,C384-119,bazedoxifene,Estrogen receptor,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,STAUROSPORINE,CTRL-032,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先确认纯母体工作液及RET域；直接作用与肥胖方向均需验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL2041,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
279,P3 先解决具体问题,C384-133,hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,TYK2 — Non-receptor tyrosine-protein kinase TYK2,STAUROSPORINE,CTRL-082,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先明确所测域及域匹配对照，SPR后验证相应细胞信号方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,CHEMBL3553,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
280,P3 先解决具体问题,C384-312,perampanel,Glutamate receptor ionotropic AMPA,CYP46A1 — Cholesterol 24-hydroxylase,VORICONAZOLE,CTRL-100,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,胆固醇产物读出合格再探索抑制/激活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PRMWGUBFXWROHD-UHFFFAOYSA-N,CHEMBL4523510,CHEMBL638,BCEHBSKCWLPMDN-MGPLVRAMSA-N
281,P3 先解决具体问题,C384-168,aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,LAZABEMIDE,CTRL-031,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,先复核阴性近邻受测条件及MAOB酶活，使用aripiprazole实体而非lauroxil前药；有一致效应再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL2039,CHEMBL279390,JZXRLKWWVNUZRB-UHFFFAOYSA-N
282,P3 先解决具体问题,C384-072,calcipotriene,Vitamin D3 receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,先确认工作液和成熟羟化酶体系，有直接活性才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
283,P3 先解决具体问题,C384-208,imipenem,Bacterial penicillin-binding protein,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,确认单一母药和测定期间稳定性后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
284,P3 先解决具体问题,C384-315,meloxicam,Prostaglandin G/H synthase 2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,取回逐药表；未包含则仍可探索，包含则按实际端点分类。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
285,P3 先解决具体问题,C384-324,crisaborole,Phosphodiesterase 4,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,纯化合物实际浓度达标，不用软膏制剂直接测试。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,USZAGAREISWJDP-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
286,P3 先解决具体问题,C384-327,deutetrabenazine,Synaptic vesicular amine transporter,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT,CTRL-035,IC50,仅功能/其他活性记录，SPR对照尚未落实,先解决具体问题,UGCG脂质产物及参考物先测通，实体与模型一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MKJIEFSOBYUXJB-WEZHFFAMSA-N,CHEMBL2063,CHEMBL2110588,FJZZPCZKBUKGGU-AUSIDOKSSA-N
287,P3 先解决具体问题,C384-363,tazemetostat,Histone-lysine N-methyltransferase EZH2,DHFR — Dihydrofolate reductase,研究化合物 CHEMBL310759（无通用名称）,CTRL-028,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,确认可溶浓度/聚集及DHFR纯酶读数，不靠类器官表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NSQSAUGJQHDYNO-UHFFFAOYSA-N,CHEMBL202,CHEMBL310759,AVRPDIOCAAWICH-UHFFFAOYSA-N
288,P3 先解决具体问题,C384-026,zavegepant,"Calcitonin gene-related peptide type 1 receptor; Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",INSR — Insulin receptor,STAUROSPORINE,CTRL-023,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,明确INSR胞外/激酶域；有成熟对照体系才追加，功能方向单独判定。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JJVAPHYEOZSKJZ-JGCGQSQUSA-N,CHEMBL1981,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
289,P3 先解决具体问题,C384-035,olmesartan,Type-1 angiotensin II receptor,EGLN3 — Prolyl hydroxylase EGLN3,研究化合物 CHEMBL3133890（无通用名称）,CTRL-112,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,先解决具体问题,确认采购酸实体及EGLN3辅因子体系，已有体系时才追加探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,VTRAEEWXHOVJFV-UHFFFAOYSA-N,CHEMBL5705,CHEMBL3133890,NZNPMUUOXMZCBF-UHFFFAOYSA-N
290,P3 先解决具体问题,C384-036,atrasentan,Endothelin-1 receptor,ERBB2 — Receptor tyrosine-protein kinase erbB-2,IBRUTINIB,CTRL-003,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,先解决具体问题,核近邻实验物种构建浓度，解释后才决定投入；若做需明确ERBB2激酶域。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,MOTJMGVDPWRKOC-QPVYNBJUSA-N,CHEMBL1824,CHEMBL1873475,XYFPWWZEPKGCCK-GOSISDBHSA-N
